Week 1;20;33;47;9;47
Week 2;19;35;48;11;46
Week 3;19;35;53;9;45
Week 4;22;34;50;10;52
Week 5;20;33;47;10;48
Week 6;17;35;46;8;49
Week 7;18;34;50;9;48
Week 8;22;34;48;10;44
Week 9;18;34;52;10;40
Week 10;19;36;51;10;39
Week 11;19;37;47;10;42
Week 12;21;38;49;8;38
Week 13;22;41;49;9;36
Week 14;17;42;46;9;33
Week 15;19;45;48;11;32
Week 16;18;44;49;10;34
Week 17;22;45;46;11;30
Week 18;21;40;47;10;27
Week 19;18;37;49;10;26
Week 20;22;36;53;10;25
Week 21;17;35;46;9;27
Week 22;22;33;51;11;23
Week 23;20;31;50;8;23
Week 24;19;30;46;10;20
Week 25;21;29;45;9;19
Week 26;19;29;48;10;14
Week 27;19;28;45;11;18
Week 28;20;27;47;11;13
Week 29;20;27;46;11;12
Week 30;21;26;46;12;8
Week 31;20;27;52;15;12
Week 32;19;28;50;15;4
Week 33;19;30;46;15;3
Week 34;18;32;49;17;2
Week 35;21;31;51;17;1
Week 36;19;33;52;20;2
Week 37;18;34;48;20;3
Week 38;20;36;49;22;3
Week 39;21;37;50;22;4
Week 40;19;39;50;24;3
Week 41;18;41;42;26;2
Week 42;21;43;44;25;3
Week 43;22;45;48;25;2
Week 44;22;46;45;27;3
Week 45;19;48;45;27;2
Week 46;20;47;42;30;2
Week 47;18;45;46;30;2
Week 48;19;43;42;30;2
Week 49;18;41;40;32;1
Week 50;18;38;40;34;3
Week 51;20;37;41;36;5
Week 52;18;35;43;32;6
Week 53;20;33;39;34;7
Week 54;17;34;36;35;9
Week 55;22;33;38;35;7
Week 56;20;34;41;32;6
Week 57;19;34;41;34;4
Week 58;18;33;36;36;2
Week 59;18;35;37;35;3
Week 60;18;34;34;34;2
Week 61;18;35;39;35;1
Week 62;20;37;32;34;2
Week 63;18;38;36;35;1
Week 64;21;39;37;34;3
Week 65;18;42;34;35;2
Week 66;21;43;32;33;1
Week 67;19;45;32;36;2
Week 68;22;45;31;35;1
Week 69;18;44;31;33;3
Week 70;19;43;31;33;2
Week 71;20;40;32;35;1
Week 72;19;37;30;37;0
Week 73;19;36;28;38;2
Week 74;21;35;26;41;2
Week 75;21;33;25;39;1
Week 76;19;31;27;42;2
Week 77;19;30;25;42;1
Week 78;21;29;26;42;1
Week 79;18;29;24;46;1
Week 80;20;28;19;43;2
Week 81;19;27;22;42;1
Week 82;22;27;19;47;1
Week 83;20;26;20;46;0
Week 84;19;27;16;51;1
Week 85;17;28;15;49;2
Week 86;21;30;14;50;1
Week 87;21;32;16;52;1
Week 88;21;31;14;53;2
Week 89;18;33;15;56;2
Week 90;18;34;11;52;2
Week 91;18;36;9;50;2
Week 92;19;37;11;52;2
Week 93;19;39;10;54;1
Week 94;20;41;5;53;1
Week 95;18;43;6;53;1
Week 96;17;45;8;54;1
Week 97;21;46;4;55;2
Week 98;20;48;1;56;0
Week 99;21;47;4;55;1
Week 100;19;45;1;56;0